item_id,engine,stage,status,document_type,difficulty,source,error,cer,wer,ned,char_accuracy,word_accuracy,reference_diacritic_count,correct_diacritic_count,diacritic_error_count,diacritic_accuracy,base_loss_count,relevant_char_error_count,char_edit_distance
data_1,tesseract,raw,ok,non-academic,intermediate,https://www.tcmb.gov.tr/wps/wcm/connect/TR/TCMB+TR/Main+Menu/Yayinlar/Raporlar/Finansal+Hesaplar+Raporu/2025/Finansal+Hesaplar+Raporu+2025-+I.+Ceyrek,,0.16202672605790647,0.2576419213973799,0.1401059220028888,0.8379732739420935,0.74235807860262,171,171,0,1.0,0,36,291
data_1,tesseract,corrected,ok,non-academic,intermediate,https://www.tcmb.gov.tr/wps/wcm/connect/TR/TCMB+TR/Main+Menu/Yayinlar/Raporlar/Finansal+Hesaplar+Raporu/2025/Finansal+Hesaplar+Raporu+2025-+I.+Ceyrek,,0.16258351893095768,0.2663755458515284,0.14058738565238324,0.8374164810690423,0.7336244541484715,171,170,1,0.9941520467836257,1,37,292
data_1,easyocr,raw,ok,non-academic,intermediate,https://www.tcmb.gov.tr/wps/wcm/connect/TR/TCMB+TR/Main+Menu/Yayinlar/Raporlar/Finansal+Hesaplar+Raporu/2025/Finansal+Hesaplar+Raporu+2025-+I.+Ceyrek,,0.1492204899777283,0.22707423580786026,0.13092330239374694,0.8507795100222717,0.7729257641921398,171,171,0,1.0,0,35,268
data_1,easyocr,corrected,ok,non-academic,intermediate,https://www.tcmb.gov.tr/wps/wcm/connect/TR/TCMB+TR/Main+Menu/Yayinlar/Raporlar/Finansal+Hesaplar+Raporu/2025/Finansal+Hesaplar+Raporu+2025-+I.+Ceyrek,,0.14977728285077951,0.23580786026200873,0.13141182217879824,0.8502227171492205,0.7641921397379913,171,170,1,0.9941520467836257,1,36,269
data_2,tesseract,raw,ok,non-academic,hard,https://www.tcmb.gov.tr/wps/wcm/connect/TR/TCMB+TR/Main+Menu/Yayinlar/Raporlar/Finansal+Hesaplar+Raporu/2025/Finansal+Hesaplar+Raporu+2025-+I.+Ceyrek,,0.36273006134969327,0.5706806282722513,0.28391356542617047,0.6372699386503067,0.4293193717277487,101,96,5,0.9504950495049505,1,94,473
data_2,tesseract,corrected,ok,non-academic,hard,https://www.tcmb.gov.tr/wps/wcm/connect/TR/TCMB+TR/Main+Menu/Yayinlar/Raporlar/Finansal+Hesaplar+Raporu/2025/Finansal+Hesaplar+Raporu+2025-+I.+Ceyrek,,0.3642638036809816,0.581151832460733,0.2851140456182473,0.6357361963190185,0.418848167539267,101,94,7,0.9306930693069307,3,96,475
data_2,easyocr,raw,ok,non-academic,hard,https://www.tcmb.gov.tr/wps/wcm/connect/TR/TCMB+TR/Main+Menu/Yayinlar/Raporlar/Finansal+Hesaplar+Raporu/2025/Finansal+Hesaplar+Raporu+2025-+I.+Ceyrek,,0.21855828220858894,0.2094240837696335,0.19480519480519481,0.781441717791411,0.7905759162303665,101,96,5,0.9504950495049505,1,66,285
data_2,easyocr,corrected,ok,non-academic,hard,https://www.tcmb.gov.tr/wps/wcm/connect/TR/TCMB+TR/Main+Menu/Yayinlar/Raporlar/Finansal+Hesaplar+Raporu/2025/Finansal+Hesaplar+Raporu+2025-+I.+Ceyrek,,0.2200920245398773,0.225130890052356,0.19617224880382775,0.7799079754601227,0.774869109947644,101,94,7,0.9306930693069307,3,68,287
data_3,tesseract,raw,ok,non-academic,hard,https://www.tcmb.gov.tr/wps/wcm/connect/TR/TCMB+TR/Main+Menu/Yayinlar/Raporlar/Finansal+Hesaplar+Raporu/2025/Finansal+Hesaplar+Raporu+2025-+I.+Ceyrek,,0.6183539694100509,0.7889447236180904,0.3889143380668804,0.38164603058994906,0.21105527638190957,102,100,2,0.9803921568627451,0,140,849
data_3,tesseract,corrected,ok,non-academic,hard,https://www.tcmb.gov.tr/wps/wcm/connect/TR/TCMB+TR/Main+Menu/Yayinlar/Raporlar/Finansal+Hesaplar+Raporu/2025/Finansal+Hesaplar+Raporu+2025-+I.+Ceyrek,,0.6183539694100509,0.7788944723618091,0.3889143380668804,0.38164603058994906,0.2211055276381909,102,100,2,0.9803921568627451,0,140,849
